"Symbol"	"Control"	"Control.1"	"Control.2"	"Control.3"	"Control.4"	"Control.5"	"Control.6"	"Control.7"	"Control.8"	"Control.9"	"Control.10"	"D0_moderately"	"D0_moderately.1"	"D0_moderately.2"	"D0_moderately.3"	"D0_moderately.4"	"D0_moderately.5"	"D0_moderately.6"	"D0_moderately.7"	"D0_moderately.8"	"D0_moderately.9"	"D0_moderately.10"	"D0_moderately.11"	"D0_moderately.12"	"D0_moderately.13"	"D0_moderately.14"	"D0_moderately.15"	"D0_moderately.16"	"D0_Severe"	"D0_Severe.1"	"D0_Severe.2"	"D0_Severe.3"	"D0_Severe.4"	"D0_Severe.5"	"D0_Severe.6"	"D0_Severe.7"	"D0_Severe.8"	"D0_Severe.9"	"D0_Severe.10"	"D0_Severe.11"	"D30_moderately"	"D30_moderately.1"	"D30_moderately.2"	"D30_moderately.3"	"D30_moderately.4"	"D30_moderately.5"	"D30_moderately.6"	"D30_moderately.7"	"D30_Severe"	"D30_Severe.1"	"D30_Severe.2"	"D30_Severe.3"	"D30_Severe.4"	"D30_Severe.5"	"D30_Severe.6"	"D7_moderately"	"D7_moderately.1"	"D7_moderately.2"	"D7_moderately.3"	"D7_moderately.4"	"D7_moderately.5"	"D7_moderately.6"	"D7_moderately.7"	"D7_Severe"	"D7_Severe.1"	"D7_Severe.2"	"D7_Severe.3"	"D7_Severe.4"	"D7_Severe.5"	"D7_Severe.6"	"D7_Severe.7"	"D7_Severe.8"
"Q13422"	6.301960603	5.905478013	6.023240702	6.02739644	6.913088351	6.313368014	6.404567642	7.014807151	6.925774296	7.95986932	6.333752826	5.795006149	6.470356571	6.37501306	6.204946751	5.924337662	5.377833391	6.358899695	5.01259753	6.655564233	6.014161031	6.087290153	6.200208529	6.474786183	5.796877851	5.853002276	7.003934302	5.573036113	5.505633118	6.003180036	5.967200938	6.091125474	6.253610813	5.805781126	6.139601103	6.197609128	5.847025401	4.794073279	6.52590651	5.676937881	6.903482797	7.054666457	6.90331078	5.132872595	6.341368375	6.073602805	5.907984602	6.541087591	6.298310091	6.216298503	6.510387104	6.077093405	5.97445967	6.33359007	4.782462891	5.825771751	5.667278274	6.678117493	6.456510748	6.276971753	6.365770846	6.238854892	5.783410587	6.637833993	6.148912171	5.495358419	5.984892811	6.130630319	5.498311435	5.693450287	5.837647103	6.612029067
"Q13642"	6.278506118	6.922327836	6.525618126	6.842998365	6.644517742	6.401870338	6.796390518	6.894668934	6.976777448	6.771157791	7.316038478	7.123850629	6.996315063	7.035417858	6.099758603	7.320593377	6.9399648	7.061856527	6.293205383	6.777085018	6.907643011	6.783524212	7.349237835	6.531839435	6.72792329	6.815757754	6.512398697	6.850192032	6.861108998	8.004732925	6.422567618	7.078653159	6.945417958	7.341954129	6.157074632	6.823863909	6.804955954	6.76579114	7.247225044	7.323618067	6.379581358	6.740991399	7.285504213	6.83963476	6.762205162	5.945883934	6.796255652	6.581067799	6.778437924	6.689503783	7.116206452	6.510020419	7.172291743	7.505590896	7.867498219	7.519121389	6.808586926	7.373425362	6.665718078	6.563653282	6.91129884	6.810977514	6.666436629	6.845234513	7.131171369	7.408050769	6.632282829	6.617537681	7.80843484	7.454777865	6.69495729	6.369849086
"O00264"	8.111635681	8.227609774	8.505610298	8.562402636	8.119114587	7.801696879	8.122535619	8.7269633	9.297969075	8.987047963	9.206618739	8.797210777	8.931746682	9.110424036	8.456778219	8.987461722	8.618832225	8.61598651	9.078182544	8.741880666	8.327145947	8.35175697	8.607909652	8.216992642	8.147341416	8.367307589	8.650070753	8.524437172	8.743417848	9.140938526	8.700576297	8.91148322	8.347221033	9.121759329	7.918892615	8.712312108	8.927980217	8.841937758	8.565118692	8.825122167	7.787792717	8.50796567	8.058559764	8.5772384	8.473570009	7.974151634	8.270605633	8.3181577	8.239331203	8.422498442	8.472823268	8.436132274	8.569468677	8.856968561	8.795393436	9.124089739	8.503620658	8.926463421	8.687616501	8.38064198	8.648670959	8.349229434	8.243787623	8.566437182	8.465021906	8.372695307	8.377040703	8.43709611	9.262100803	9.035823667	8.424976656	8.619804464
"Q13637"	7.928111543	8.445268991	7.914748759	7.750642876	8.115220287	8.05086621	8.030415481	8.172092089	8.644533395	8.261563831	8.622005218	9.052459689	8.698457238	8.278096713	8.442389981	8.65836779	8.236468934	8.435358621	8.331345267	8.458350301	8.804034982	8.287314321	8.122320032	8.469689746	8.384744464	8.36333539	7.834289891	8.734924738	8.527334888	8.885245386	8.459729742	8.911013593	8.625133324	8.918341804	8.429378197	8.269288776	8.908865802	8.298250514	8.840820239	8.112170172	7.59421515	8.400764239	8.010903444	7.881340921	8.477934344	7.725978025	8.330177476	8.025143593	8.26529256	8.169498783	8.409797954	8.039367148	7.954395968	8.50503981	8.494618949	8.214576646	8.31071621	8.297848503	8.465241299	8.301037193	8.610484449	8.286042738	8.420962318	8.624338789	9.016243947	8.750989446	8.064794191	8.717735605	8.884556953	9.111684042	8.262696643	8.637903996
"Q96DZ9"	8.1422716	9.007963271	7.940605626	8.190434002	8.274379869	8.326368256	8.433756518	8.513909662	9.519745734	8.761069311	9.468166705	9.669944503	9.204154213	9.014797162	8.543702058	8.820957853	8.660669974	8.843865013	8.973637741	8.47407686	9.296583665	8.245956391	8.429981116	7.997926673	8.614063334	8.665758843	8.353791349	9.069091631	8.79907922	9.985745995	9.220108539	8.80795979	8.934352021	9.229734157	8.86681949	8.273031057	9.740648284	8.476113314	8.906183473	9.302764896	7.660991407	8.430342028	8.719501342	8.522826979	8.67101823	8.208744946	8.872077729	8.375121619	8.072982365	8.328280712	9.166744182	7.94827215	8.855137391	8.896362483	9.161388249	8.923247383	8.418963395	9.211385225	8.778080096	8.377664208	9.151884286	8.591183062	8.319572346	9.181629364	9.590422403	9.033923254	8.510403428	8.99591376	9.956553469	9.811679098	8.463334177	8.395628033
"P56134"	6.566691493	7.550064716	7.172732931	7.122443631	7.238303604	7.026331425	7.024734676	7.691756603	7.350166947	8.102305906	7.679649134	8.048973298	7.582276673	7.676700678	7.158745137	7.71255575	7.344383243	7.161777218	7.702241537	7.681189248	7.405375152	6.77420228	7.156509594	7.102676961	7.082726853	6.972706486	7.614429568	6.937968291	6.782128382	7.552531503	7.497463433	7.42490241	7.110556193	7.313374763	6.233239506	7.097213868	7.027694633	7.083648406	7.393805604	6.999017562	6.738856295	6.683228005	6.600769343	6.489995659	7.241349012	7.286592099	6.725002075	7.427725574	7.266222211	7.230457173	7.167577904	7.17952628	7.560372815	8.268081658	7.14600581	7.150207965	7.060790642	7.314226615	7.193066783	6.902040397	7.248507063	7.017305527	7.148123731	7.354838316	7.329358654	7.235008955	6.793274281	7.209625306	7.422674495	7.684677678	7.062524951	7.294052543
"Q92597"	6.514992442	6.16550783	6.146100695	5.904950699	6.164133197	5.934810632	6.580397255	5.85121882	5.730082311	5.991926106	5.307080468	5.914850784	5.616430656	5.488434067	5.810102655	6.074976725	5.765202653	6.068600247	6.084104268	5.718939341	5.451222191	5.792514753	6.254319239	5.961696851	6.08085703	6.009552353	5.919596148	5.943428684	5.928006697	5.818169396	5.770024739	5.849032408	5.929483347	5.802381349	6.625542384	6.055247878	5.866000645	5.962573755	6.142072084	5.949148683	6.16652416	6.071561343	6.133116609	6.728745536	6.067239986	6.316976692	6.011161724	6.952157997	6.508572705	6.234886692	6.001074328	6.168258653	6.099090959	6.050550435	5.711682112	5.903850275	6.460079176	6.035090361	5.691258756	6.354051299	5.937073545	6.075800804	5.605363145	5.387538887	5.814420806	5.901197709	5.895199977	5.836166997	5.950852898	4.86444584	5.951813486	6.178082828
"P54709"	7.339202048	7.674769173	7.42554583	7.947895282	7.736520911	7.680532574	7.604971414	7.745348475	7.721010555	7.636624337	7.813538286	7.887418233	7.681465473	7.956502921	7.496005747	7.844838757	7.55256868	7.581022367	7.701039821	7.818114431	8.167831116	7.629601254	7.533531293	7.920931945	7.717177011	7.65108647	8.070957075	7.786593166	6.806288624	7.490610835	7.128773338	7.8958315	7.402868932	7.719240084	6.701911309	7.61907067	7.807247375	7.720390705	7.583618529	7.695936519	7.533045934	7.842030657	7.530290849	7.210085421	7.719163984	7.574830112	7.803159344	7.621349677	7.699979322	7.917694244	7.521183641	7.66337278	7.928862788	7.318442206	7.616732248	8.182689626	7.581796773	7.556647726	7.827455617	7.685965062	7.767462121	7.729374611	7.506062219	7.890005567	8.064024873	7.659922405	7.6285004	7.682719656	7.665458922	7.926090552	7.63135767	7.555510217
"P28062"	7.389135095	7.803896195	7.755847047	7.556384499	7.797420434	7.874612011	7.951279626	7.311855913	7.496909419	7.356163685	7.584718095	7.574179366	7.682450551	7.468952289	7.476074501	7.756103694	7.987549666	7.737533035	7.649626446	7.747433882	7.673737046	7.848044983	7.699555242	7.519165686	7.733916457	7.791368398	8.039595746	7.473515773	7.525760454	7.715373947	7.558153319	7.798144187	7.393337874	7.665638192	7.258853176	7.754114806	7.361343404	7.760152382	7.514940567	7.629867748	7.916148578	7.313598954	7.469030748	7.244395537	7.572961412	7.642289991	7.619818953	7.335253215	8.067535361	7.424832263	7.349941002	8.083216525	7.893866881	8.178675879	7.4237373	7.632261059	7.713321078	7.455581896	7.621531821	7.878860495	7.999153566	7.523158172	7.719440848	7.708741251	7.746368944	7.631959451	7.568985415	7.557121795	7.593720594	7.609748705	7.559865482	7.717691846
"Q9NX24"	7.848233853	7.808384619	8.103745745	8.247296322	7.826498694	7.742557673	7.633112349	7.920722005	7.835052854	8.204922621	7.553148276	7.70006189	7.737637837	8.099280173	7.228917484	7.401827094	7.291427272	7.847212692	7.558775603	7.606616293	7.214325862	7.812564624	7.870604424	7.920971358	7.783441873	7.920093017	8.33077378	7.500761386	7.660270131	7.363412554	7.576082183	7.708595186	8.525424592	7.491487887	8.126014442	8.186063612	7.07861409	7.755191374	8.039004752	7.355273658	7.758172536	8.08863314	7.958624406	8.854666293	7.821822472	7.486116409	8.035747644	7.482767616	7.200658295	7.57652104	8.199773273	7.414801642	7.438721354	7.778305411	6.948753896	7.657346182	8.025764365	7.845397587	7.500034814	7.845573752	8.031235891	7.371152209	8.24400273	7.944294146	8.00027813	7.352378439	7.34343825	7.585459028	7.397902588	7.622921705	7.617328671	8.219817435
"Q8IYB3"	7.232794883	7.499165544	7.316296034	6.639595644	7.883204536	7.306171518	7.639326896	7.995322647	6.99439365	7.715453684	6.667042668	6.86892713	6.891724538	7.334012611	7.487313839	7.028671434	6.810034116	7.27193714	6.277958826	7.05801723	6.806228209	6.831654834	6.975748022	7.149339279	6.852334346	7.006076574	7.931761777	6.770640186	6.016582933	5.844591463	7.567492723	7.255994172	7.530712135	6.413978922	6.525928674	7.035271733	6.593618092	7.274635132	7.242783699	7.069018499	8.105808955	7.635008382	6.614087379	7.505889991	7.265009695	7.81779757	7.480916834	7.470837762	7.50650618	7.899401424	6.860641693	7.579489474	8.297393856	7.570060054	6.826808304	6.519219974	6.848017633	7.327222862	7.002050552	7.169758698	7.14368719	7.217430978	7.208606753	7.556199059	7.518453199	6.590299128	7.380239831	7.406484953	6.163524386	6.538141025	7.211451093	7.335699788
"P01834"	7.420188948	7.375902797	6.332258352	6.415909499	6.614043673	7.078192756	7.092732785	6.872641875	7.200337143	6.158192446	8.031165885	7.123479267	8.070223386	7.350913453	8.259925267	7.21307476	7.964461278	8.178620208	7.009515904	7.547033553	8.08057714	8.094215052	7.804898054	8.142431761	8.354649634	8.154767293	7.313450475	7.853571416	7.746738003	6.652772525	7.356931751	8.103588355	8.088927675	6.697268385	7.138292083	7.655324669	7.587014416	8.092962914	7.450902229	7.329883316	7.021700978	7.52103719	7.758357693	6.513385587	7.700383345	7.786472318	7.148388504	7.382081004	7.593741287	8.128286827	6.720662634	7.954652321	7.373040341	8.288129158	7.358118	7.258242919	7.992381472	7.464194021	8.706966643	7.898802327	6.973863502	7.237206837	7.318667217	7.683833151	8.030134478	8.157196539	7.346012451	7.089911905	7.591560403	8.392944323	6.356268	8.588717343
"Q96IU4"	8.090980065	7.619520068	8.218350212	7.750979706	7.165749328	8.365884909	8.448978119	7.478012927	7.171351895	7.666316954	7.479542625	7.18907696	7.364304999	6.937512486	7.440870428	7.170071453	8.140541604	7.801624159	7.967020031	7.245622629	7.217429142	7.495954368	7.698247288	8.126070801	7.534168511	7.439822307	7.162842207	7.688117677	8.448949631	6.716938846	7.486721421	7.22571701	7.528185464	7.409705845	8.378347734	7.646435312	7.017683814	7.390778272	7.336775962	7.132661764	8.112558908	6.933887904	7.335423792	7.197816839	7.548796495	7.516992515	7.580961347	7.432726106	7.783291966	7.938222162	6.948755308	7.503885096	7.289352689	7.658254882	7.311189684	7.127811305	8.042779578	8.164037334	7.49602504	7.512621265	7.19440699	7.470588845	8.081769339	6.937332562	7.347871498	7.495020921	7.521391713	7.397360959	7.425843921	7.301119823	7.734768154	7.432105637
"P61313"	8.550628218	7.982421077	8.270025082	8.666998023	8.580737407	7.925852231	7.257702564	7.398390107	7.64655859	7.733809826	7.994213891	8.724309064	7.971073489	8.346488127	7.682033194	8.244941372	8.387349871	8.328351112	7.612083196	8.9591735	8.557572855	8.377980638	8.346394224	8.407629084	8.268827556	9.046285295	8.417468698	8.182415005	9.004818394	7.378992349	7.657895901	8.420317974	8.904952997	7.85581135	8.433119929	7.723362749	7.408443951	7.626974945	8.352303501	7.559419118	7.818562523	8.106526293	8.967446219	8.075576396	8.459536228	8.443415812	8.320759176	8.122841254	7.453467633	8.570715978	8.753046128	7.293006882	8.837457159	8.601416323	7.56446481	7.889468206	8.293582414	8.400273485	7.678236518	8.66501164	8.651669876	8.026655424	8.196737815	8.079168649	8.322819955	7.928752169	7.812614766	8.473789823	7.166560494	7.675904203	8.154416442	9.122195188
"P46782"	9.667763501	10.03556453	10.2635395	9.850529056	10.26442852	9.514063325	9.75097174	8.659246567	9.023794214	9.252493433	8.917307147	9.795329271	9.479621873	9.259395737	8.940829008	9.480643274	9.693273383	9.214796956	9.016119281	9.837428564	9.050277442	9.844410891	9.508673347	10.13823146	9.740121499	10.19097318	9.836235078	9.503583174	7.993001303	9.00606797	8.789210497	9.490170724	8.582651838	8.90646231	9.381113256	9.349145233	9.142073336	9.351775171	9.210334576	8.678883141	9.710993809	9.114889456	9.281141988	9.221973777	9.869835577	9.497010418	9.916294604	10.25649559	9.598642305	9.757639618	9.651259369	9.952064208	9.238513747	8.630070673	8.674081029	9.348968885	10.10743157	9.006084744	9.659559814	10.0743396	9.737105837	9.023054273	9.261955769	9.764055555	9.130189183	9.476880114	9.043608481	9.732584061	8.364649783	8.798072098	9.602287289	10.2915766
"Q96EP5"	9.078140019	8.48671004	8.657487768	7.937751738	8.500143416	9.069408418	8.502822517	8.257450567	7.815601129	8.682678507	7.264781264	8.419525081	8.064668352	8.164709809	8.379183786	8.520332681	8.957435389	8.370693686	8.086156648	8.46046619	8.401692471	8.321327859	8.676639669	8.154333055	8.222118782	8.494379637	8.520648481	8.688759809	8.850734176	8.110818418	8.463056868	8.585206852	8.495745416	8.312832248	8.601008883	8.596770806	8.096990577	8.50771938	8.375676696	8.220728743	8.741187206	8.170612095	8.670990299	9.11597587	8.820507501	9.008289708	8.059670006	8.327368496	8.830401603	8.592411804	8.262928283	8.646915125	8.315362659	9.569998032	8.090278715	7.771846373	8.928947438	8.457974097	8.00482492	8.524730458	8.702850736	8.728181359	8.603035056	8.194048641	8.571788698	8.488199622	8.384610402	8.585508888	8.15004582	8.354989095	8.235092887	8.476658947
"Q92890"	6.617929696	6.789029279	6.390883559	5.535334069	6.150492662	6.624105812	6.347215148	5.869523975	6.313480262	5.909542335	5.980140363	6.47568864	6.063228719	5.307159918	6.585723706	6.166102371	6.419254252	6.333020426	5.687270498	6.203944365	6.188793912	6.244528914	6.371786589	6.335222879	6.370770062	6.328695273	6.753612667	6.15917011	6.955669387	6.30725945	6.785484825	5.93574776	6.128933071	6.636923871	7.527870625	6.104608745	6.972932254	6.401889188	6.515901566	6.072783797	6.180002368	6.322739957	6.927422166	6.517430392	6.223721892	6.322627219	6.490369238	6.184386335	6.270730476	6.322173162	6.783747352	6.795315477	6.145508917	6.944328657	6.468041656	6.002203141	6.369127702	6.841351445	6.225335538	6.675281754	6.271318764	6.42948519	6.687201434	6.410911296	6.307154666	6.222730539	7.029413712	6.617818234	6.358672394	6.324522004	5.972669267	6.473445056
"P18583"	7.955347452	8.104524503	8.296815758	8.22333312	8.28320947	8.313194542	8.642602728	8.421599535	8.146420824	8.408806486	8.042897681	8.149921875	7.825831386	8.168084231	8.259555285	8.01501781	8.526789305	8.412672341	8.04258249	8.222653556	7.861664961	8.122213545	8.271361633	8.382982483	8.647667187	8.232105451	8.45882662	8.148150709	8.978373814	8.013944193	8.645711417	8.280793057	8.589571206	8.119496585	9.029960914	8.21486282	8.183281569	8.213415978	8.354239717	8.124938071	8.503620144	8.02986141	8.494644564	8.418755497	8.411082123	8.254754008	8.049458083	8.259002422	8.184950271	8.386422265	7.861374658	8.234003764	8.256006405	8.631541131	8.12108744	8.239040135	8.586793538	8.327246433	7.982838333	8.283338114	8.143521182	7.982248746	8.222798408	8.342961298	8.31927605	7.874969115	8.51172451	8.579902974	7.606495113	7.791766676	7.762840064	8.440692868
