	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_moderately 	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D0_Severe	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_moderately 	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D30_Severe	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_moderately 	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	D7_Severe	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS	GIS
P16671	10.6111	10.2396	10.0701	9.71132	10.5056	11.0214	9.91916	9.35469	11.6053	9.24436	11.9368	11.2183	10.8899	10.1955	9.9491	9.32598	9.71167	9.73742	11.7028	10.2259	9.69558	7.43379	9.65195	10.6319	8.13186	8.85518	10.8115	10.9791	10.2984	10.9481	9.12438	9.22497	10.5059	10.2458	8.80284	9.08135	9.86944	9.96838	10.062	10.83	10.4144	8.81282	10.2049	9.77545	7.26866	9.79831	8.78692	10.6282	9.73115	10.9651	8.893	9.84987	9.59638	10.6194	11.5222	11.0647	9.82034	10.9152	10.7985	6.8505	9.91961	8.4545	10.6004	9.33293	10.7299	8.64422	9.50204	10.2445	10.6268	9.6182	10.0226	10.076	10.6797	10.1393	10.4491	9.50263	10.399	9.37547	9.42731	9.44211	10.5577	10.7458	10.3217	8.73742	10.6133	9.26397	10.7829
Q15691	10.4121	10.3523	10.2201	10.3888	9.62954	11.093	10.8754	9.39446	9.57705	9.03864	9.06124	9.86357	9.88783	9.73995	9.87067	10.167	10.1486	9.78398	9.68878	10.0452	10.3561	9.80268	10.4147	9.85736	9.33226	9.89603	8.67313	9.44253	9.96751	9.97771	10.5439	10.6483	8.50978	9.63354	10.5038	9.91468	10.7875	9.78611	10.2401	10.3707	10.1642	10.0614	9.41532	9.73335	9.72332	10.5608	10.0796	9.41722	10.7274	10.3619	10.4717	9.70148	10.0195	9.81442	11.184	10.1213	10.4497	9.65535	10.0759	9.90569	10.1422	9.98755	8.89026	10.1016	9.80945	11.0803	10.7934	9.31424	10.0035	10.2025	10.5201	10.6118	9.7812	10.1742	10.0158	10.787	9.40493	10.1978	10.1628	10.2789	9.59805	10.4191	10.3253	9.91453	10.0957	9.86573	9.49825
P62993	10.2921	9.92822	10.6419	10.1261	10.5206	9.60084	9.75154	8.14006	9.6489	7.49185	9.67172	9.66676	9.94369	9.59954	10.9296	10.7686	9.19697	9.84204	9.89345	9.7039	9.76852	7.49426	10.2227	10.3299	8.44626	8.39575	9.85081	10.0526	9.2305	10.1619	8.89542	9.07441	9.55516	9.55555	10.2911	11.0788	10.4311	10.4061	9.40535	8.98527	10.3249	10.1788	10.1544	9.54901	7.50462	10.281	8.55612	9.76072	10.308	10.8274	8.91767	9.92526	10.7283	10.324	9.62717	10.2507	9.52572	9.88554	9.66409	7.89664	9.82829	8.51452	10.4032	9.71287	10.6017	9.30104	9.01262	9.59675	9.5744	10.412	10.1375	9.56986	9.93369	9.80655	10.4929	9.06124	9.63136	10.5479	10.1466	10.3406	10.2955	9.41088	9.6268	7.78856	10.001	8.54612	9.89588
O75131	8.72554	10.4407	9.27053	7.82655	8.26444	9.24745	10.4123	10.0538	9.38608	10.1361	10.4576	8.71115	8.62022	10.6996	10.1848	9.99901	10.3315	7.56605	8.3147	10.8808	10.4802	11.1379	9.507	10.2359	11.5764	10.6069	10.3449	10.4414	10.1098	9.2341	10.8767	10.9962	9.60622	9.92644	10.6068	9.99294	7.22304	8.85736	9.79636	9.01597	8.89785	9.60566	8.83605	10.7252	10.7262	9.58722	9.76005	10.1415	10.3809	9.41975	9.8009	10.0953	9.68703	8.44956	8.98413	8.89875	10.0892	9.23122	11.8902	10.6321	9.90298	10.4977	11.0511	10.3333	9.8009	10.7706	10.7246	10.1137	9.21675	10.2343	7.6388	9.54574	9.19205	10.5468	9.6014	10.554	9.90132	10.0422	9.77791	7.96982	8.79766	9.71545	10.512	10.4663	9.88996	10.3914	10.4478
Q13464	6.67384	6.843977681	6.30378	5.87036	5.79442	7.37764	7.51333	7.03452	4.96809	7.18785	6.655037519	6.99887	6.69488	6.772863303	6.40769	6.693900011	7.30287	6.6279	4.76553	7.7046	7.85985	8.07895	4.89724	5.61176	7.03232	6.93782	6.881954878	6.761529042	6.975409568	6.43796	7.8189	7.08321	6.859040291	6.598529737	6.860877705	6.865352654	6.4363	4.41278	7.25361	6.99774	6.98185	6.36282	5.21335	8.42459	7.99605	4.43962	6.75221	6.629133719	6.644144739	8.22448	8.20555	6.682922123	6.779728049	8.26303	7.47249	6.73335	7.46352	6.483478824	7.7807	7.86295	5.33985	7.09592	6.961711962	6.708766309	6.71836	7.1416	7.74551	6.753917156	6.622950769	6.770090499	5.83794	6.96347	6.84046	6.788401064	6.52356	7.2854	6.68338657	6.771218125	6.73742	5.63227	5.43962	7.44708	7.7252	7.79181	5.47897	6.78005	6.832550077
Q8IUI8	8.50779	8.42291	9.17418	5.43962	8.29737	9.46475	9.03974	8.55497	8.89118	6.61618	7.84046	7.76421	8.0607	8.17991	8.62205	6.0268	8.47492	5.24413	7.5306	8.52395	8.73403	8.72792	9.60233	9.53683	7.7866	8.12412	7.56301	8.26913	8.15381	8.24935	9.35315	8.98128	8.003296315	6.46597	6.37156	6.77215	6.88874	7.67101	9.17867	8.77906	8.55651	9.49325	7.8189	8.03342	8.67596	8.80316	7.90929	7.96924	8.81922	8.98128	8.96723	7.29646	6.25361	7.844300979	9.26374	8.72315	8.83447	7.55459	8.45902	8.91468	8.54767	8.02403	8.24982	8.61287	8.70529	9.15355	8.94954	7.80284	7.3906	7.06609	5.3505	9.23673	8.20408	8.6851	8.69418	9.09196	7.49585	7.15785	9.40152	6.94486	7.98982	9.12127	8.71046	8.55344	8.97039	7.90809	8.20506
P35637	9.82893	9.50044	6.2211	7.01458	9.20921	6.74147	9.6204	8.2724	8.75922	8.27798	8.36763	9.89467	9.82114	9.28933	4.90207	9.43442	8.56415	6.82909	7.83983	9.22665	8.92778	9.28378	9.05989	9.69818	8.24793	9.06717	9.21091	8.72247	9.34363	5.01346	9.1334	8.91049	7.83794	8.1298	9.20848	8.7418	5.70874	9.56033	7.99039	7.67948	9.62644	9.24982	9.20701	8.58158	9.47978	9.47431	9.54496	9.92065	9.47634	5.37851	9.16466	9.13366	9.37786	7.10538	6.19377	9.37308	8.75622	8.38586	9	9.18884	9.30583	8.65033	8.80993	9.62881	5.34341	8.38759	7.96867	8.15279	7.49265	8.90839	6.46923	7.85798	9.88203	8.85144	5.60288	8.96261	8.07842	8.77972	9.25408	6.36982	9.03067	7.44294	9.1316	9.02791	9.09329	8.93517	8.85081
P62873	9.89224	8.90839	9.83099	8.2114	9.58515	9.89527	8.26538	8.73234	10.0326	8.96607	10.0386	9.93295	9.82718	8.90629	10.7645	10.0497	9.85534	8.82909	8.32912	8.4672	8.49305	9.22062	9.73251	10.3724	9.51688	9.35535	9.74046	9.81266	10.9481	9.90689	10.016	10.1802	8.82559	8.33985	10.9154	10.305	10.0406	9.70598	9.28517	9.58703	9.58289	9.12903	9.09064	7.47816	9.10093	9.65946	8.88417	9.54805	8.70598	10.1809	10.1134	8.40642	9.73302	9.73589	10.0704	9.34385	9.83968	8.981	7.97957	9.07788	9.68598	9.33338	9.95565	8.57024	10.4989	10.1224	10.2651	8.40301	8.74853	9.93472	8.52121	9.59731	9.78152	8.82718	10.4434	10.0717	8.36894	10.2943	9.17518	9.93103	9.94046	9.51392	8.37808	9.20701	9.77956	9.59544	10.1041
P05455	8.43921	10.0508	9.47776	7.90207	9.3253	8.80703	8.92035	8.25833	8.30104	8.69748552	7.67596	7.99548	8.17542	10.4835	8.76055	8.78202	8.88753	6.55305	7.57365	8.77906	8.54148	8.89966	9.32373	8.94281	8.73023917	8.799406143	9.49486	8.71425	9.38888	8.44832	9.6756	9.66835	8.574870312	8.528201336	6.4545	8.22014	7.05961	7.47735	8.37808	7.91109	8.40301	9.2724	7.58721	8.38716	9.91214	9.04958	8.811966634	9.54013	10.1724	8.96896	10.3894	8.769473936	8.73098	7.04876	7.99379	8.0607	8.90238	7.4446	8.6532	9.06178	9.51806	8.751869798	8.981	10.1783	8.86511	9.06555	9.61471	8.738540447	8.370349771	7.97154	6.85425	8.62972	8.10119	9.82528	8.93723	9.66213	8.668464139	8.07948	9.27193	8.22882	8.27891	8.66035	8.60844	9.0474	9.06259	8.740724838	8.81314
Q96CX2	7.16289	6.28725	7.37504	7.077033543	6.62644	5.59991	7.35403	7.76222	4.97728	7.35667	5.2555	6.97384	6.37156	5.79701	7.66249	8.15937	8.90809	7.018559003	6.97728	7.46842	6.91169	7.74551	5.41616	5.61176	7.49506	7.38716	6.36982	6.05745	6.69766	7.31832	8.1982	8.51333	7	7.42122	8.15583	8.10171	6.858826842	6.31651	4.83289	5.25172	7.22593	8.71699	6.43463	7.27705	7.86975	6.08958	7.54767	5.88509	6.49346	7.38629	8.35447	7.82655	7.88874	7.074928911	4.88264	7.07575	8.83889	7.20653	7.70321	8.0207	5.4822	7.3505	5.9331	6.35579	7.07253	8.51806	8.53566	7.38629	6.45615	7.89178	7.006301015	5.1375	7.02569	5.73606	7.67948	8.43045	7.10957	7.92244	8.73369	7.042977987	6.32012	5.53916	7.01792	7.87344	5.80219	7.27984	5.65249
P08621	8.22497	8.07735	9.24555	7.995646958	7.67172	7.974229945	5.9542	6.77873	8.38543	7.62059	7.71218	8.32508	8.18388	8.27798	9.18809	7.77676	8.7139	8.090594821	6.77742	6.77215	6.20555	7.02901	8.32148	8.54805	7.46761	7.78398	9.328	8.52356	7.62425	8.63408	9.25715	9.68633	8.69662	8.50661	6.52042	7.46107	8.041658041	7.59768	7.955124383	8.03349546	8.00899	8.76222	7.35843	5.71149	6.91409	8.25927	7.97671	9.18115	7.32912	8.71596	9.86295	8.6014	8.16541	8.085389998	7.981079546	7.85362	8.97327	6.87897	6.3147	7.1375	8.94603	7.43796	8.86264	8.13648	9.36041	8.99661	9.05175	8.55382	8.09698	7.69279	7.960776464	8.014795452	8.2817	7.83289	8.88753	9.15659	8.24317	7.3837	8.66605	7.989611211	7.27146	8.03603936	6.12515	6.81506	8.48744	7.47978	8.50819
Q9P258	9.40472	9.70304	7.67666	9.32598	9.43941	9.19155	9.18364	8	7.74214	8.78986	7.6489	9.10066	8.94457	9.81538	7.14262	9.00927	8.72792	9.13827	8.2724	9.14797	9.07441	8.3336	8.38284	8.25456	8.66142	8.88142	8.89118	8.91199	9.80961	6.79571	10.3635	10.3207	8.940087607	8.850729934	9.07895	9.57403	8.48784	8.11426	9.00703	8.81153	9.54438	9.4582	8.91707	9.28054	8.41363	8.43296	8.82655	9.21602	9.96145	7.6703	10.9292	8.921069542	9.23122	9.14644	8.36545	8.97499	8.86944	8.18933	8.75154	8.52395	8.51175	8.82528	8.81634	9.92229	7.25456	10.0672	10.26	8.91988192	8.757160436	9.30583	9.43692	9.27566	9.16138	9.55267	7.63008	10.0545	8.950936559	9.31402	8.90929	8.99067	8.97269	8.88753	9.05826	7.94837	8.296	8.68194	8.78234
P15531	9.96319	10.8978	10.9212	10.637	10.1988	10.672	11.3843	10.2563	10.0798	9.94822	10.9144	10.1372	10.0531	10.3848	10.6947	10.5805	9.72332	9.91034	10.2282	11.1669	11.3287	10.8657	10.7776	10.4577	10.8101	10.9869	10.4812	11.3238	10.1214	10.5427	10.2926	10.8434	10.3814	10.9731	9.6886	10.4608	10.772	10.94	10.0423	10.2052	10.2123	10.6595	9.77033	10.5031	10.5815	10.9046	10.7421	11.1838	11.1117	10.9142	10.1885	11.6265	10.4776	9.85627	10.7006	10.1834	9.72007	10.0547	11.0171	10.9167	10.7557	10.6423	10.9843	10.7131	10.7138	10.9595	10.3978	10.9848	11.3851	10.6344	10.8467	10.6336	9.96333	10.6071	10.7802	10.7995	10.9319	10.5426	10.8664	10.6937	10.4009	10.442	11.0365	10.6408	10.6218	10.9197	11.0652
P20592	7.220160637	7.002325778	4.94953	6.923562181	6.965848656	6.853614793	5.35755	8.11166	7.15178	7.98242	3.63227	6.84677663	6.950518685	7.016438015	4.90207	7.69139	7.145826603	6.725936696	6.737802862	5.77347	6.81378	10.1633	8.49225	8.36063	9.69279	8.52748	6.55766	7.40429	7.174992168	5.99774	8.47452	6.37678	6.830128599	6.71738102	5.92125	6.84423	6.788434499	6.921505644	6.962698677	6.776791022	6.82893201	7.172695849	6.861807103	3.96347	9.7269	7.2854	8.43546	5.99774	6.848960796	5.0045	6.71699	6.839893403	7.18785	6.890603912	6.847331791	6.868677041	7.121289869	6.914787449	5.25172	9.1416	7.24793	8.30606	5.20555	7.088616063	5.42291	6.83289	7.90388	6.991956955	6.682678305	7.35755	6.694768553	7.147446607	7.120538497	6.951227122	5.86047	7.29829	7.047970513	7.13031	7.082496417	7.121481924	6.958362413	7.042296365	5.73064	8.80381	7.44874	8.62461	6.27053
O43143	9.35623	9.73352	9.05066	8.18686	8.02181	9.03672	7.85985	8.44087	9.04712	9.86078	7.93251	9.18587	9.09882	9.89996	8.97528	7.78529	8.686897064	8.91528	7.51491	7.76553	7.78529	9.10696	9.30241	8.8009	9.58045	9.8157	8.29967	8.12516	10.6049	8.41193	9.62516	9.78986	7.6279	7.21529	7.39232	7.76553	7.69209	7.5157	9.35689	9.08614	9.02042	8.702144731	8.37374	7.63445	9.23242	8.97985	9.85938	8.38586	9.30127	8.59171	9.95216	7.47168	7.73471	8.74483	8.89269	8.96376	8.736776441	7.96116	7.85425	9.22376	9.18636	9.66995	8.30195	9.53955	8.89724	9.51136	9.71235	7.43796	7.02459	7.49185	8.07948	9.51294	9.24413	9.60028	8.8614	9.78496	7.1809	7.60066	8.684034885	7.61985	7.56377	9.28263	7.71973	8.8716	9.10774	9.88539	8.18686
P84085	7.886829837	7.923356946	8.71253	5.71973	7.899172634	8.03507	5.99774	7.49025	7.861245368	8.9263	7.924791728	7.907968174	7.852362578	7.941853646	9.02431	8.055995406	7.777745006	5.04439	7.943826292	6.2211	6.43129	7.75422	7.782007417	7.962157637	8.43045	8.39017	7.935916137	7.896400485	7.928019158	9.15785	8.44087	8.14057	9.14491	8.87375	7.926352213	7.854771628	7.52042	7.855866	8.0677	8.03122	7.637597559	7.844651521	7.713075824	5.59395	7.39489	7.986011586	7.90388	7.817864251	7.931123374	9.55708	7.95361	9.14797	7.869166237	7.480829963	8.20653	7.694556015	7.713652534	7.741399632	6.0268	7.49185	7.948289652	8.18289	7.836727489	8.000534113	9.19254	8.11582	7.96	9.27519	9.33092	8.018951266	6.25172	8.27146	7.682947929	7.885131295	8.88844	7.85611	9.01681	7.956913567	7.773055255	7.05961	7.810003986	8.20604	5.99548	7.77676	7.753546554	8.21286	7.730371784
Q9UJ70	7.73064	7.28725	7.81186	7.2182	8.12722	7.720428637	7.805968238	10.049	7.799688003	7.903193923	6.46923	7.47573	7.23745	6.91528	7.96521	6.9472	7.952037632	8.19623	7.50938	7.980121901	7.8328643	10.4305	7.984452115	8.048138537	7.896204517	8.035727776	7.58721	7.7039	7.67737	7.80542	6.61912	7.24413	8.36457	6.33092	10.5605	8.24365	8.2114	8.2465	7.869367142	7.708388333	7.80993	7.984816459	8.65213	7.937498596	10.241	7.912621551	7.811880635	7.32912	7.49185	7.74214	6.49185	7.16792	6.63952	8.5947	7.626674263	7.74752	8.040138335	8.11894	8.052851092	10.1981	7.852893934	7.973805748	7.27984	7.02459	7.47816	7.07788	7.47735	7.86604	6.55459	7.51096	7.35315	7.895285592	7.71218	7.18982	7.49025	7.25077	7.90448	8.29646	7.832844758	8.23266	8.55574	7.721908715	7.901085747	10.0623	7.9627804	7.859295107	7.71287
Q9H9B4	9.40301	10.22	9.68808	9.91468	9.02625	8.32103	9.74937	11.5442	9.48684	10.4076	10.2478	9.05175	9.04767	10.2076	9.6844	9.55055	10.0312	9.72332	9.65571	9.51037	9.48985	10.2137	9.59861	9.17018	9.46046	9.61581	9.88234	9.53897	10.4772	9.58026	8.5074	7.96982	9.06366	9.05257	10.106	9.42038	8.90388	9.53741	8.2031	8.15279	9.22569	9.47796	10.0623	10.0369	10.2077	9.65946	9.5588	9.97799	10.0186	10.5463	7.80671	9.48039	9.81009	9.71785	7.69349	9.21043	9.91394	10.2682	9.80896	10.4414	9.33181	9.54612	9.84329	9.83652	10.1037	7.89905	8.22255	9.01653	9.02984	9.26327	9.39017	8.33539	9.4315	10.014	9.77495	8.46189	9.09698	9.46495	9.68912	9.25432	9.29737	8.3097	9.65875	10.371	9.50462	9.68071	9.83368
Q92499	7.04767	8.75522	8.38111	7.893494435	5.67525	7.956567953	7.85985	9.3906	8.52826	8.021674364	5.97957	6.6837	6.88874	9.1955	7.74886	8.18438	8.22593	7.937150263	5.72792	8.20604	7.8936	9.95928	9.36129	9.04876	8.019520171	8.055900938	5.66676	6.02459	8.17592	7.8392	9.2817	9.51668	7.99944	8.63336	8.67842	8.82082	7.77711699	6.11894	8.041994171	7.947999898	7.23936	8.17991	6.72656	7.5157	10.0568	10.001	8.095672113	6.36107	8.37112	7.94895	9.52356	8.02403	8.23506	7.995131412	7.874193881	7.14466	8.22593	6.80607	8.11946	10.1126	9.77347	8.097775929	6.03782	8.59656	7.74886	9.40045	9.20457	8.31922	8.14006	8.22834	7.772702329	8.077989011	7.07361	8.7139	7.99039	9.42122	8.28077	8.43296	8.16792	7.982838146	5.70598	8.020466915	7.90026	9.93811	8.68895	7.955011729	5.64386
P31949	11.6857	11.1916	11.8881	10.7131	11.8452	11.6495	11.149	9.39938	8.9655	10.5215	9.68159	10.781	10.8292	10.9468	12.0477	10.6065	10.4417	9.77033	9.18339	11.0471	10.6571	10.2514	9.42312	10.6602	11.1281	10.6515	9.99393	10.2174	10.9535	10.7715	9.94588	10.2289	10.9692	9.50779	10.5983	12.0326	10.1503	11.3328	10.9125	10.3505	11.5622	11.7194	9.99407	9.9263	10.0618	10.2234	11.0249	10.6646	11.9816	11.9255	10.2184	11.607	12.017	9.6719	10.4487	10.7488	10.5872	9.33539	10.9158	10.1938	8.87621	10.5235	10.8973	11.3469	11.1697	10.3014	10.6661	10.8254	8.58383	10.3307	11.1229	11.3167	11.2029	11.2309	11.3616	9.95128	11.11	10.939	11.0444	11.5869	11.2425	11.3218	10.9054	9.74584	9.30857	10.8252	10.4422
P20618	10.6461	9.86558	10.6137	9.80268	9.31696	10.1357	10.0755	10.3805	10.2566	9.54419	8.30378	10.4336	10.5177	9.48724	10.9342	10.9346	8.43379	9.75672	9.1416	10.5918	10.2126	11.5311	10.6963	11.7984	9.45902	9.72639	7.893	8.63227	9.98456	10.4258	9.91468	10.1557	10.9524	10.45	10.8876	10.6691	9.73927	9.8736	10.7255	10.2093	10.8784	8.66	9.59395	9.47371	11.3527	10.651	9.59152	8.78758	10.1869	10.8038	9.70719	11.1399	10.363	10.0775	9.85159	10.5647	8.60066	9.34319	10.5693	11.6266	10.8031	9.45615	8.50104	9.66249	10.4563	10.0432	9.75389	10.8595	10.296	10.3498	9.59376	10.8504	10.8112	9.64006	10.6675	9.99449	10.7571	10.6896	8.59954	10.4031	9.78431	10.5774	10.181	10.9664	10.7033	9.64979	8.51373
P61225	9.43858	8.72451	6.83162	8.14415	7.15886	9.51333	9.36676	8.50422	8.80832	8.474289561	9.40322	9.5494	9.75872	8.46597	7.32912	8.91019	8.513243255	8.22834	7.87958	9.49165	9.52532	8.6851	8.52552	7.95361	8.578800219	8.592896044	7.83352	8.84737	8.35005	7.03562	9.28448	9.17842	6.86171	7.37417	8.15987	8.63699	8.27659	7.85362	9.31719	9.7115	9.28563	8.512075599	8.04767	9.04631	8.49426	7.99887	8.533945982	8.60437	8.67807	6.66391	8.50462	7.2182	8.87989	8.31198	9.8321	9.73708	8.532146237	8.33539	9.61728	8.63517	8.59731	8.618617052	8.64638	8.26068	7.1819	8.9629	8.85393	7.46597	8.06555	8.73064	7.96232	9.24935	9.68282	8.48059	6.87652	9.08162	7.34784	8.77709	8.53263835	8.13802	7.58195	9.44626	9.34563	8.66782	8.57516	8.588556004	8.57403
Q8NBQ5	7.86357	8.85922	8.3505	9.42101	6.99322	8.99294	8.02569	8.65893	9.46516	8.43921	9.50383	7.70736	7.89239	8.81314	9.40514	8.32912	8.6664	8.90539	7.4446	8.8125	8.65285	9.98371	8.92214	9.97441	8.66463	8.35491	9.49546	9.71802	9.11192	8.50422	10.3673	10.5565	6.95536	7.48462	8.42333	8.48905	8.03397	7.57592	9.60455	9.08614	7.62644	8.71321	7.38888	7.19967	9.79653	8.55152	7.86109	9.30264	8.59917	8.5588	10.4558	7.73877	8.27006	8.83131	8.89542	7.808	8.57365	7.84298	8.7866	9.68598	9.35579	8.2588	10.2453	8.87067	8.77149	10.3247	10.3859	7.75756	7.43713	8.4417	9.37873	9.75972	8.2635	8.63154	8.57099	10.1134	7.45286	8.18239	8.99803	8.296	7.38974	9.45409	8.42501	9.64674	9.31402	8.31877	9.45759
P20674	10.5688	10.374	10.4182	10.7207	10.7506	11.3086	11.2966	11.6083	10.9981	11.302	11.7747	10.0516	10.6219	10.4048	9.54882	10.5028	11.0101	11.4416	10.5127	10.8035	10.3787	9.95012	11.5125	10.4557	10.5123	10.8515	10.0929	10.3631	11.0566	9.73047	10.1587	10.4322	12.2394	10.5781	10.672	10.7166	10.3463	10.4314	11.068	10.9361	11.0274	10.4165	11.5376	12.3345	9.79572	10.9984	10.6401	10.9263	10.8741	10.5193	10.3659	11.1752	10.6557	11.524	10.8517	11.3159	11.1544	11.0949	11.0324	10.1017	10.4768	10.612	10.1708	10.207	9.63209	10.7317	11.1215	10.1301	9.93546	10.2277	10.5523	11.1461	10.813	10.6541	10.5026	10.9432	10.5873	10.5573	10.3063	10.2531	10.333	11.1145	11.1731	10.3151	10.7896	10.8681	10.8402
Q96B97	7.542623357	8.32688	8.54496	7.280442086	7.529640502	7.47113141	5.76553	8.17542	7.08534	8.05799	7.84737	7.279747899	7.402395532	7.79181	7.87836	5.36807	7.12619	7.327770327	7.219567096	5.61471	5.3147	8.3156	8.10486	6.90929	7.41109	7.79246	7.98584	8.16641	6.77873	7.48945	7.38629	6.98299	7	7.31741	6.13955	5.33985	7.227712081	7.399494841	7.236976783	7.304825807	7.719182837	7.38716	7.31032287	8.29324	8.55689	8.00955	8.47046	8.99577	8.17941	8.6077	7.72178	8.40259	4.94486	7.37084671	7.23737359	7.320300472	7.13134	7.280533541	5.82273	8.53099	8.01848	7.82718	8.22641	7.65535	7.93782	7.02237	6.59096	7.49426	6.20359	5.39917	7.25379649	7.315308696	7.330279012	7.70529	8.00506	7.3147	7.48945	5.33628	7.24888	7.20836848	7.250372247	7.232090075	5.50462	8.27006	7.69627	7.93015	8.43379
O60313	8.77808	6.92837	7.03892	6.41447	8.07039	6.12102	8.40642	7.74079	7.74618	7.29829	7.89482	8.74987	8.82655	7.06286	6	5.2211	7.19967	7.161930279	7.79051	8.37938	8.17293	8.42459	7.3505	7.64024	8.23649	7.40769	8.11998	7.78986	6.87283	6.71012	7.240581673	7.28337969	6.34696	6.17393	5.88264	5.53294	7.07575	8.11842	7.57592	5.75221	8.88783	7.10957	8.77906	8.8645	8.1267	7.41954	7.10643	7.79181	6.97613	6.70044	7.288785125	6.30561	5.31832	7.305580338	5.70044	8.90268	7.33896	8.84643	8.38672	8.97985	7.38457	7.04876	8.08321	6.58195	6.52042	7.255222721	7.262536383	6.2724	6.26115	5.44294	6.92362	7.59842	8.76785	6.75756	7.05311	7.12335802	6.6893	4.79181	6.76818	6.50462	8.23554	5.43296	8.36107	7.78594	7.22689	7.39146	7.72178
O00410	9.16012	8.1982	8.49025	7.078608662	7.288359522	7.99831	7.470204198	5.7252	7.60881	6.76818	4.71699	9.02652	9.0337	8.21723	8.11738	5.6837	7.107038651	7.116579043	7.149218338	6.953614968	7.062216021	5.09592	8.01903	7.43796	7.21335	7.42291	6.14771	5.32553	10.8634	8.2211	7.77347	6.2211	6.47897	6.90929	5.92125	6.1334	6.26866	7.199330118	7.35843	7.56148	9.18339	7.129010853	7.197257304	7.23331653	5.46271	7.94369	7.44377	4.69488	8.21772	8.40854	6.3733	7.71012	5.95652	7.025339517	7.72588	8.96953	7.104411099	7.128343235	6.976453029	5.45615	7.75889	7.30378	5	8.15735	8.23984	6.54998	7.18388	7.18982	7.33628	6.1375	7.042060012	7.64458	9.11634	8.6756	8.44543	6.50938	7.42962	5.87529	7.226862233	4.3505	7.085228845	7.6893	7.130343182	5.42291	8.08268	7.70183	4.6893
Q9Y251	8.41151	7.7662	8.60326	8.86047	9.00028	7.65249	8.23984	7.72178	8.54805	8.40131	8.71939	10.1802	9.64024	9.13494	9.4475	9.33874	9.39124	7.48864	11.5738	9.08321	9.2446	8.01067	7.74012	7.02901	8.47735	8.78888	8.51688	8.86975	8.51728	10.2546	9.25172	9.47431	10.5439	11.152	8.53294	8.56682	8.76818	9.96607	8.09803	8.89754	8.76421	7.83036	10.0039	8.67807	7.95826	7.25172	8.12153	8.16942	7.76818	8.50462	9.20701	9.84627	9.24603	8.931946249	8.58797	9.79912	9.75589	11.3848	8.83731	7.82082	8.42417	9.23218	7.90207	8.35359	9.75889	9.58421	9.17717	10.0478	11.4338	10.1246	9.24982	8.31288	9.08746	8.41954	9.35337	9.49205	10.4185	9.0232	8.30925	8.07414	9.51392	8.55957	9.10145	8.82464	8.25974	8.65964	8.58045
Q32MZ4	8.89815	9.15886	8.01792	7.93664	8.94778	8.24127	8.26068	9.58271	6.44128	7.48704	5.65535	7.20848	7.30652	9.00562	6.66676	7.702079327	9.41172	9.11296	8.07414	7.90388	7.93899	8.86326	8.39146	6.90929	6.56986	7.66107	7.19377	7.79442	9.59395	6.05528	6.91289	5.87283	7.700301985	5.67807	7.916736227	7.81989235	8.08321	7.52826	7.52826	7.72315	8.25974	9.27566	9.26209	8.42164	9.25857	8.41785	8.66853	7.45861	9.5588	7.74819	5.96347	5.57289	7.842608967	9.54458	7.77413	7.732	9.31447	8.48704	7.65607	9.14568	6.92955	7.92005	6.41447	9.27519	6.62205	6.30561	6.09592	7.21529	4.83289	7.59658256	8.78365	7.65033	7.49665	9.30583	7.60363	6.2854	6.84172	7.749720839	9.05799	7.59096	8.04712	7.35755	7.99887	8.99803	7.21432	7.59246	8.04166
Q7L1Q6	9.91648	9.7988	9.1166	6.91886	10.7997	9.80171	10.331	8.42626	9.15127	9.6648	8.42249	9.94149	9.34407	9.21917	9.09566	8.51806	8.85393	7.22786	9.66569	9.86851	9.69645	8.69209	9.89391	9.48905	9.74551	10.0697	8.52395	8.86357	8.90869	8.87958	9.34806	9.26139	10.2726	9.50283	8.40599	8.61324	8.40599	10.0032	9.38349	9.01792	9.93517	10.0607	9.60696	9.51865	8.77512	10.1961	10.2099	9.06178	10.0489	9.87606	8.84266	10.1485	8.94808	7.6907	9.41469	9.25692	8.94105	9.50303	9.84424	8.78725	9.79685	10.1943	8.90569	9.91274	9.58346	9.2031	8.81922	10.3842	9.26162	9.00591	7.56148	9.79328	9.44398	9.37786	8.98271	9.06609	9.68755	8.78725	9.81746	8.43379	10.4342	9.45306	9.75589	8.56453	9.6462	10.0249	8.66391
